Description,Loss or Gain
WNT8A_AMP,Gain
WNT8B_AMP,Gain
WNT10B_AMP,Gain
WNT11_AMP,Gain
WNT2B_AMP,Gain
WNT9A_AMP,Gain
WNT9B_AMP,Gain
WNT10A_AMP,Gain
WNT5B_AMP,Gain
WNT3A_AMP,Gain
WNT16_DEL,Gain
WNT4_DEL,Gain
WNT1_DEL,Gain
WNT2_DEL,Gain
WNT3_DEL,Gain
WNT5A_DEL,Gain
WNT6_DEL,Gain
WNT7A_DEL,Gain
WNT7B_DEL,Gain
WNT8A_DEL,Gain
WNT8B_DEL,Gain
WNT10B_DEL,Gain
WNT11_DEL,Gain
WNT2B_DEL,Gain
WNT9A_DEL,Gain
WNT9B_DEL,Gain
WNT10A_DEL,Gain
WNT5B_DEL,Gain
WNT3A_DEL,Gain
APC_MUT,Gain
MSH5-SAPCD1_AMP,Loss
APC2_AMP,Gain
APCDD1_AMP,Gain
APCDD1L-AS1_AMP,Gain
APCDD1L_AMP,Loss
APC_AMP,Gain
SAPCD1_AMP,Loss
SAPCD2_AMP,Loss
MSH5-SAPCD1_DEL,Loss
APC2_DEL,Gain
APCDD1_DEL,Gain
APCDD1L-AS1_DEL,Gain
APCDD1L_DEL,Loss
APC_DEL,Gain
SAPCD1_DEL,Loss
SAPCD2_DEL,Loss
APC.MC_MUT,Gain
GSK3A_MUT,Gain
GSK3B_MUT,Gain
GSK3A_AMP,Gain
GSK3B_AMP,Gain
GSK3A_DEL,Gain
GSK3B_DEL,Gain
BCAT1_AMP,Gain
BCAT2_AMP,Gain
BCAT1_DEL,Gain
BCAT2_DEL,Gain
MTOR_MUT,Gain
MTOR-AS1_AMP,Loss
MTOR_AMP,Gain
LAMTOR2_AMP,Gain
LAMTOR1_AMP,Gain
LAMTOR3_AMP,Gain
MTOR-AS1_DEL,Loss
MTOR_DEL,Gain
LAMTOR2_DEL,Gain
LAMTOR1_DEL,Gain
LAMTOR3_DEL,Gain
HIF1A_MUT,Gain
HIF1A-AS2_AMP,Loss
HIF1A_AMP,Gain
HIF1AN_AMP,Gain
HIF1A-AS2_DEL,Loss
HIF1A_DEL,Gain
HIF1AN_DEL,Gain
VHL_MUT,Gain
VHLL_AMP,Gain
VHL_AMP,Gain
VHLL_DEL,Gain
VHL_DEL,Gain
MYC_MUT,Gain
MYCL1_MUT,Gain
MYCN_MUT,Gain
GJA9-MYCBP_AMP,Gain
MYCBP2-AS1_AMP,Loss
MYCNOS_AMP,Gain
MYCBP2_AMP,Gain
MYCBP_AMP,Gain
MYC_AMP,Gain
MYCL1_AMP,Gain
MYCN_AMP,Gain
MYCT1_AMP,Gain
MYCBPAP_AMP,Gain
GJA9-MYCBP_DEL,Gain
MYCBP2-AS1_DEL,Loss
MYCNOS_DEL,Gain
MYCBP2_DEL,Gain
MYCBP_DEL,Gain
MYC_DEL,Gain
MYCL1_DEL,Gain
MYCN_DEL,Gain
MYCT1_DEL,Gain
MYCBPAP_DEL,Gain
MAX_MUT,Gain
MAX_AMP,Gain
MAX_DEL,Gain
MXI1_AMP,Gain
MXI1_DEL,Gain
TSC1_MUT,Gain
TSC1_AMP,Gain
TSC1_DEL,Gain
TSC2_MUT,Gain
TSC2_AMP,Gain
TSC2_DEL,Gain
RHEB_MUT,Gain
RHEBL1_AMP,Gain
RHEB_AMP,Gain
RHEBL1_DEL,Gain
RHEB_DEL,Gain
TP53RK_MUT,Gain
TP53_MUT,Gain
TP53BP1_MUT,Gain
TP53TG1_AMP,Gain
TP53RK_AMP,Gain
TP53TG5_AMP,Gain
WRAP53_AMP,Loss
TP53INP2_AMP,Gain
TP53AIP1_AMP,Gain
TP53_AMP,Gain
TP53BP1_AMP,Gain
TP53BP2_AMP,Gain
TP53I13_AMP,Gain
TP53INP1_AMP,Gain
TP53I11_AMP,Gain
TP53I3_AMP,Gain
TP53TG1_DEL,Gain
TP53RK_DEL,Gain
TP53TG5_DEL,Gain
WRAP53_DEL,Loss
TP53INP2_DEL,Gain
TP53AIP1_DEL,Gain
TP53_DEL,Gain
TP53BP1_DEL,Gain
TP53BP2_DEL,Gain
TP53I13_DEL,Gain
TP53INP1_DEL,Gain
TP53I11_DEL,Gain
TP53I3_DEL,Gain
BCL2L11_MUT,Gain
BCL2_MUT,Gain
BCL2A1_MUT,Gain
BCL2L1_MUT,Gain
BCL2L2_MUT,Gain
BCL2L10_AMP,Gain
BCL2L11_AMP,Gain
BCL2L2-PABPN1_AMP,Gain
BCL2L13_AMP,Gain
BCL2L15_AMP,Gain
BCL2_AMP,Gain
BCL2A1_AMP,Gain
BCL2L1_AMP,Gain
BCL2L2_AMP,Gain
BCL2L14_AMP,Gain
BCL2L12_AMP,Gain
BCL2L10_DEL,Gain
BCL2L11_DEL,Gain
BCL2L2-PABPN1_DEL,Gain
BCL2L13_DEL,Gain
BCL2L15_DEL,Gain
BCL2_DEL,Gain
BCL2A1_DEL,Gain
BCL2L1_DEL,Gain
BCL2L2_DEL,Gain
BCL2L14_DEL,Gain
BCL2L12_DEL,Gain
BAX_MUT,Gain
BAX_AMP,Gain
BAX_DEL,Gain
BAD_MUT,Gain
BAD_AMP,Gain
BAD_DEL,Gain
RB1_MUT,Loss
RBBP8_MUT,Gain
RBL1_MUT,Loss
RBL2_MUT,Loss
